2, 2505, Note_on_c, 0, 55, 0
2, 2520, Note_on_c, 0, 55, 127
2, 2525, Note_on_c, 0, 59, 127
2, 2540, Note_on_c, 0, 62, 127
2, 2563, Note_on_c, 0, 55, 0
2, 2571, Note_on_c, 0, 59, 0
2, 2596, Note_on_c, 0, 62, 0
2, 2995, Note_on_c, 0, 43, 89
2, 2995, Note_on_c, 0, 47, 85
2, 2995, Note_on_c, 0, 45, 93
2, 3005, Note_on_c, 0, 48, 39
2, 3012, Note_on_c, 0, 48, 0
2, 3020, Note_on_c, 0, 43, 0
2, 3020, Note_on_c, 0, 47, 0
2, 3020, Note_on_c, 0, 45, 0
2, 3035, Note_on_c, 0, 35, 95
2, 3035, Note_on_c, 0, 39, 127
2, 3035, Note_on_c, 0, 38, 127
2, 3035, Note_on_c, 0, 36, 123
2, 3035, Note_on_c, 0, 41, 127
2, 3035, Note_on_c, 0, 40, 127
2, 3046, Note_on_c, 0, 39, 0
2, 3051, Note_on_c, 0, 35, 0
2, 3055, Note_on_c, 0, 36, 0
2, 3058, Note_on_c, 0, 38, 0
2, 3058, Note_on_c, 0, 40, 0
2, 3058, Note_on_c, 0, 41, 0
2, 3079, Note_on_c, 0, 62, 127
2, 3079, Note_on_c, 0, 61, 127
2, 3081, Note_on_c, 0, 60, 127
2, 3086, Note_on_c, 0, 59, 107
2, 3086, Note_on_c, 0, 57, 107
2, 3097, Note_on_c, 0, 61, 0
2, 3097, Note_on_c, 0, 62, 0
2, 3104, Note_on_c, 0, 55, 97
2, 3106, Note_on_c, 0, 58, 96
2, 3111, Note_on_c, 0, 58, 0
2, 3111, Note_on_c, 0, 60, 0
2, 3117, Note_on_c, 0, 59, 0
2, 3117, Note_on_c, 0, 53, 89
2, 3124, Note_on_c, 0, 57, 0
2, 3124, Note_on_c, 0, 52, 85
2, 3135, Note_on_c, 0, 55, 0
2, 3135, Note_on_c, 0, 50, 78
2, 3135, Note_on_c, 0, 48, 78
2, 3139, Note_on_c, 0, 53, 0
2, 3145, Note_on_c, 0, 47, 72
2, 3149, Note_on_c, 0, 52, 0
2, 3155, Note_on_c, 0, 50, 0
2, 3158, Note_on_c, 0, 45, 64
